schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,ImageNet Pre-training also Transfers Non-Robustness,[],https://arxiv.org/abs/2106.10989v4,https://github.com/jiamingzhang94/imagenet-pretraining-transfers-non-robustness,0,
1.0,RESEARCH_PAPER,"Roboflow 100: A Rich, Multi-Domain Object Detection Benchmark",[],https://arxiv.org/abs/2211.13523v3,https://github.com/roboflow-ai/roboflow-100-benchmark,304,
1.0,RESEARCH_PAPER,Characterizing Verbatim Short-Term Memory in Neural Language Models,[],https://arxiv.org/abs/2210.13569v2,https://github.com/kristijanarmeni/verbatim-memory-in-nlms,3,
1.0,RESEARCH_PAPER,Editing Models with Task Arithmetic,[],https://arxiv.org/abs/2212.04089v3,https://github.com/mlfoundations/task_vectors,553,
1.0,RESEARCH_PAPER,A Mixture-Based Framework for Guiding Diffusion Models,[],https://arxiv.org/abs/2502.03332v1,https://github.com/badr-moufad/mgdm,16,
1.0,RESEARCH_PAPER,Classification and transformations of quantum circuit decompositions for permutation operations,[],https://arxiv.org/abs/2312.11644v1,https://github.com/quconot/quconot,2,
1.0,RESEARCH_PAPER,MegaCRN: Meta-Graph Convolutional Recurrent Network for Spatio-Temporal Modeling,[],https://arxiv.org/abs/2212.05989v2,https://github.com/deepkashiwa20/megacrn,148,
1.0,RESEARCH_PAPER,ELISa: A new tool for fast modelling of eclipsing binaries,[],https://arxiv.org/abs/2106.10116v1,https://github.com/mikecokina/elisa,24,
1.0,RESEARCH_PAPER,An Efficient Workflow for Modelling High-Dimensional Spatial Extremes,[],https://arxiv.org/abs/2210.00760v2,https://github.com/siliusmv/spatialconditionalextremes,0,
1.0,RESEARCH_PAPER,Designing Stable Neural Networks using Convex Analysis and ODEs,[],https://arxiv.org/abs/2306.17332v2,https://github.com/fsherry/non-expansive-odes,1,
1.0,RESEARCH_PAPER,Nezha: Deployable and High-Performance Consensus Using Synchronized Clocks,[],https://arxiv.org/abs/2206.03285v10,https://github.com/steamgjk/nezha,144,
1.0,RESEARCH_PAPER,Robustness of LiDAR-Based Pose Estimation: Evaluating and Improving Odometry and Localization Under Common Point Cloud Corruptions,[],https://arxiv.org/abs/2409.10824v2,https://github.com/boyang9602/LiDARLocRobustness,18,
1.0,RESEARCH_PAPER,Weakly supervised training of universal visual concepts for multi-domain semantic segmentation,[],https://arxiv.org/abs/2212.10340v3,https://github.com/unizg-fer-d307/universal_taxonomies,4,
1.0,RESEARCH_PAPER,Safe and Smooth: Certified Continuous-Time Range-Only Localization,[],https://arxiv.org/abs/2209.04266v5,https://github.com/utiasasrl/safe_and_smooth,7,
1.0,RESEARCH_PAPER,Towards Long-term Fairness in Recommendation,[],https://arxiv.org/abs/2101.03584v1,https://github.com/TobyGE/FCPO,23,
1.0,RESEARCH_PAPER,Weakly Supervised Learning of Cortical Surface Reconstruction from Segmentations,[],https://arxiv.org/abs/2406.12650v1,https://github.com/m-qiang/CoSeg,12,
1.0,RESEARCH_PAPER,"RGB-D-Based Categorical Object Pose and Shape Estimation: Methods, Datasets, and Evaluation",[],https://arxiv.org/abs/2301.08147v1,https://github.com/roym899/pose_and_shape_evaluation,28,
1.0,RESEARCH_PAPER,Measuring Faithful and Plausible Visual Grounding in VQA,[],https://arxiv.org/abs/2305.15015v2,https://github.com/dreichcsl/fpvg,1,
1.0,RESEARCH_PAPER,Moment-based Kalman Filter: Nonlinear Kalman Filtering with Exact Moment Propagation,[],https://arxiv.org/abs/2301.09130v1,https://github.com/purewater0901/mkf,35,
1.0,RESEARCH_PAPER,Data Consistent Deep Rigid MRI Motion Correction,[],https://arxiv.org/abs/2301.10365v2,https://github.com/nalinimsingh/neuromoco,37,
1.0,RESEARCH_PAPER,Inductive Reasoning for Coinductive Types,[],https://arxiv.org/abs/2301.09802v2,https://github.com/bagnalla/algco,3,
1.0,RESEARCH_PAPER,Closing the Loop: Testing ChatGPT to Generate Model Explanations to Improve Human Labelling of Sponsored Content on Social Media,[],https://arxiv.org/abs/2306.05115v1,https://github.com/thalesbertaglia/chatgpt-explanations-sponsored-content,1,
1.0,RESEARCH_PAPER,Complex Network for Complex Problems: A comparative study of CNN and Complex-valued CNN,[],https://arxiv.org/abs/2302.04584v1,https://github.com/soumickmj/pytorch-complex,56,
1.0,RESEARCH_PAPER,Sparse Bayesian Optimization,[],https://arxiv.org/abs/2203.01900v2,https://github.com/facebookresearch/sparsebo,27,
