schemaVersion,recordType,startupName,employeeCount,officialWebsite,sourceName,sourceURL,collectedAt
1.0,STARTUP,Adentris,,https://www.adentris.com,Y Combinator,https://www.ycombinator.com/companies/adentris,2026-09-04T14:37:49.711037Z
1.0,STARTUP,Adventris Pharmaceuticals,7,https://adventris.com,Y Combinator,https://www.ycombinator.com/companies/adventris-pharmaceuticals,2026-09-04T14:37:59.851064Z
1.0,STARTUP,Adri AI,3,https://atrilabs.com/,Y Combinator,https://www.ycombinator.com/companies/adri-ai,2026-09-04T14:38:09.892524Z
1.0,STARTUP,Adialante,4,http://www.adialante.com,Y Combinator,https://www.ycombinator.com/companies/adialante,2026-09-04T14:38:20.877752Z
1.0,STARTUP,Aegis,,https://aegishealth.us/,Y Combinator,https://www.ycombinator.com/companies/aegis,2026-09-04T14:38:32.171234Z
1.0,STARTUP,AgentCollect,,https://www.agentcollect.com,Y Combinator,https://www.ycombinator.com/companies/agentcollect,2026-09-04T14:38:43.984318Z
1.0,STARTUP,Affil.ai,4,https://affil.ai/,Y Combinator,https://www.ycombinator.com/companies/affil-ai,2026-09-04T14:39:04.193747Z
1.0,STARTUP,Affinity,,https://itsaffinity.com,Y Combinator,https://www.ycombinator.com/companies/affinity,2026-09-04T14:39:14.193670Z
1.0,STARTUP,Agentic Fabriq,2,https://www.agenticfabriq.com,Y Combinator,https://www.ycombinator.com/companies/agentic-fabriq,2026-09-04T14:39:25.151019Z
1.0,STARTUP,Agave,40,https://www.useagave.com,Y Combinator,https://www.ycombinator.com/companies/agave,2026-09-04T14:39:34.927355Z
1.0,STARTUP,Agency Tool Company,,https://agencytool.com,Y Combinator,https://www.ycombinator.com/companies/agency-tool-company,2026-09-04T14:39:45.834005Z
1.0,STARTUP,AesculaTech,6,https://www.aesculatech.com/,Y Combinator,https://www.ycombinator.com/companies/aesculatech,2026-09-04T14:39:52.900006Z
1.0,STARTUP,Agent FM,2,https://www.agentfm.ai/,Y Combinator,https://www.ycombinator.com/companies/agent-fm,2026-09-04T14:40:02.832331Z
1.0,STARTUP,Agentcard,,https://agentcard.sh,Y Combinator,https://www.ycombinator.com/companies/agentcard,2026-09-04T14:40:11.612634Z
1.0,STARTUP,AIOS,100,https://www.aiosmedical.com/,Y Combinator,https://www.ycombinator.com/companies/aios,2026-09-04T14:40:21.370341Z
1.0,STARTUP,&AI,7,https://www.tryandai.com/,Y Combinator,https://www.ycombinator.com/companies/ai-2,2026-09-04T14:40:32.326467Z
1.0,STARTUP,AgentPhone,2,https://agentphone.ai/,Y Combinator,https://www.ycombinator.com/companies/agentphone,2026-09-04T14:40:41.234422Z
1.0,STARTUP,Agnost AI,,https://agnost.ai,Y Combinator,https://www.ycombinator.com/companies/agnost-ai,2026-09-04T14:40:53.165682Z
1.0,STARTUP,Aglide,,https://aglide.com,Y Combinator,https://www.ycombinator.com/companies/aglide,2026-09-04T14:41:03.854847Z
1.0,STARTUP,AICE,2,https://aicepower.com,Y Combinator,https://www.ycombinator.com/companies/aice,2026-09-04T14:41:10.726577Z
1.0,STARTUP,COACH,,https://www.getcoach.com/,Y Combinator,https://www.ycombinator.com/companies/ai-coach,2026-09-04T14:41:22.681754Z
1.0,STARTUP,AgentMail,10,https://agentmail.to,Y Combinator,https://www.ycombinator.com/companies/agentmail,2026-09-04T14:41:32.640713Z
1.0,STARTUP,Aidy,,https://www.aidyhq.com/,Y Combinator,https://www.ycombinator.com/companies/aidy,2026-09-04T14:41:42.573649Z
1.0,STARTUP,AiPrise,,https://aiprise.com/,Y Combinator,https://www.ycombinator.com/companies/aiprise,2026-09-04T14:41:53.344315Z
1.0,STARTUP,Airweave,7,https://airweave.ai,Y Combinator,https://www.ycombinator.com/companies/airweave,2026-09-04T14:42:03.958399Z
1.0,STARTUP,Airbyte,90,https://airbyte.com/,Y Combinator,https://www.ycombinator.com/companies/airbyte,2026-09-04T14:42:12.780807Z
1.0,STARTUP,Airtrain AI,5,https://airtrain.ai,Y Combinator,https://www.ycombinator.com/companies/airtrain-ai,2026-09-04T14:42:21.791714Z
1.0,STARTUP,AirCaps,,https://aircaps.com,Y Combinator,https://www.ycombinator.com/companies/aircaps,2026-09-04T14:42:33.872498Z
1.0,STARTUP,AirHelp,350,http://www.airhelp.com,Y Combinator,https://www.ycombinator.com/companies/airhelp,2026-09-04T14:42:41.759592Z
1.0,STARTUP,Airgoods,10,https://airgoods.com/,Y Combinator,https://www.ycombinator.com/companies/airgoods,2026-09-04T14:43:08.690111Z
1.0,STARTUP,AlgoUniversity,40,http://algouniversity.com/,Y Combinator,https://www.ycombinator.com/companies/algouniversity,2026-09-04T14:49:14.585469Z
1.0,STARTUP,Alpha Research,1,https://youtu.be/1dwgU3zQz3k,Y Combinator,https://www.ycombinator.com/companies/alpha-research,2026-09-04T15:02:57.613307Z
1.0,STARTUP,ALT TEX,10,https://thealttex.com/,Y Combinator,https://www.ycombinator.com/companies/alt-tex,2026-09-06T03:17:51.045150Z
1.0,STARTUP,Alpaca,150,https://alpaca.markets/,Y Combinator,https://www.ycombinator.com/companies/alpaca,2026-09-06T03:17:51.122191Z
